recordDate,fiscalQuarter,productionDept,dayOfWeek,team,plannedEfficiency,standardMinuteValue,workInProgress,overtimeMinutes,performanceBonus,idleMinutes,idleWorkers,styleChangeCount,workerCount,efficiencyScore
2/22/2015,Q4,Finishing & Quality,Sunday,Line-F3,0.8,2.9,,960,0,0,0,No Style Change,8,0.8319375
1/19/2015,Q3,Stitching Unit,Monday,Line-F2,0.65,20.4,1255,8280,35,0,0,No Style Change,58,0.650066445
2/28/2015,Q4,Finishing & Quality,Saturday,Line-C2,0.75,4.6,,3360,0,0,0,No Style Change,8,0.376597222
2/28/2015,Q4,Stitching Unit,Saturday,Line-S3,0.75,29.4,1144,4440,45,0,0,Major Design Shift,57,0.750716981
1/28/2015,Q4, Finishing & Quality ,Wednesday,Line-F1,0.8,4.3,,1440,0,0,0,No Style Change,12,0.722638889
03-07-2015,Q1,Finishing & Quality,Saturday,Line-F2,0.35,3.94,,2400,0,0,0,No Style Change,10,0.80575
1/18/2015,Q3, Finishing & Quality ,Sunday,Line-C1,0.8,2.9,,1440,0,0,0,No Style Change,8,0.692045455
01-10-2015,Q2, Finishing & Quality ,Saturday,Line-Q2,0.8,3.94,,1440,0,0,0,No Style Change,8,0.846950758
01-12-2015,Q2,Stitching Unit,Monday,Line-F2,0.65,20.79,1141,8460,0,0,0,No Style Change,59,0.650040783
01-06-2015,Q1, Finishing & Quality ,Tuesday,Line-P1,0.8,4.15,,2700,0,0,0,No Style Change,15,0.888686869
01-10-2015,Q2,Stitching Unit,Saturday,Line-F2,0.5,20.79,966,7680,0,0,0,No Style Change,56,0.388007813
02-03-2015,Q1, Finishing & Quality ,Tuesday,Line-F3,0.7,2.9,,960,0,0,0,No Style Change,8,0.495416667
01-04-2015,Q1,Stitching Unit,Sunday,Line-P2,0.8,11.61,1216,6975,50,0,0,No Style Change,31,0.800030199
1/21/2015,Q3, Finishing & Quality ,Wednesday,Line-F1,0.75,4.3,,6000,0,0,0,No Style Change,20,0.978525641
02-12-2015,Q2,Stitching Unit,Thursday,Line-Q1,0.8,29.12,14,6960,0,0,0,No Style Change,58,0.497885057
02-07-2015,Q1,Stitching Unit,Saturday,Line-F2,0.7,30.1,687,7500,0,0,0,No Style Change,59,0.545657673
1/25/2015,Q4,Stitching Unit,Sunday,Line-S1,0.7,22.94,1682,10530,75,0,0,No Style Change,58.5,0.800909609
01-08-2015,Q2, Finishing & Quality ,Thursday,Line-F2,0.7,4.15,,3840,0,0,0,No Style Change,8,0.821354167
03-11-2015,Q2,Stitching Unit,Wednesday,Line-F2,0.7,26.82,992,6960,30,0,0,Minor Style Revision,58,0.700556897
01-04-2015,Q1,Stitching Unit,Sunday,Line-P1,0.75,19.31,513,6480,45,0,0,No Style Change,54,0.750348457
01-05-2015,Q1,Stitching Unit,Monday,Line-Q2,0.75,28.08,1083,7020,45,0,0,No Style Change,58.5,0.7504
1/19/2015,Q3,Stitching Unit,Monday,Line-S1,0.5,22.94,1492,10170,30,0,0,No Style Change,56.5,0.549969429
01-11-2015,Q2,Stitching Unit,Sunday,Line-S3,0.8,19.87,1043,6420,0,0,0,No Style Change,55,0.690182815
01-04-2015,Q1,Stitching Unit,Sunday,Line-Q2,0.7,28.08,1202,6900,40,0,0,No Style Change,57.5,0.699965217
1/27/2015,Q4, Finishing & Quality ,Tuesday,Line-S3,0.75,3.94,,1440,0,0,0,No Style Change,12,0.861875
2/19/2015,Q3,Stitching Unit,Thursday,Line-P2,0.8,15.26,1126,1080,38,0,0,No Style Change,34,0.800711494
03-10-2015,Q2,Stitching Unit,Tuesday,Line-P1,0.8,11.41,338,3420,50,0,0,No Style Change,58,0.800034503
1/13/2015,Q2, Finishing & Quality ,Tuesday,Line-Q2,0.8,3.94,,5400,0,0,0,No Style Change,20,0.912766667
1/31/2015,Q5,Stitching Unit,Saturday,Line-S1,0.75,22.94,1502,6960,81,0,0,No Style Change,58,0.850362069
01-07-2015,Q1, Finishing & Quality ,Wednesday,Line-C1,0.8,2.9,,1440,0,0,0,No Style Change,8,0.804640152
1/20/2015,Q3,Stitching Unit,Tuesday,Line-S2,0.7,22.94,1363,10260,50,0,0,No Style Change,57,0.750031898
03-02-2015,Q1,Stitching Unit,Monday,Line-C1,0.8,30.1,616,7080,0,0,0,No Style Change,59,0.800115819
1/31/2015,Q5,Stitching Unit,Saturday,Line-P1,0.65,20.1,1417,6480,49,0,0,No Style Change,54,0.650148148
01-11-2015,Q2, Finishing & Quality ,Sunday,Line-Q1,0.8,3.94,,1440,0,0,0,No Style Change,8,0.858143939
02-02-2015,Q1,Stitching Unit,Monday,Line-S1,0.8,22.94,16882,7020,113,0,0,No Style Change,58.5,1.000602279
02-04-2015,Q1,Stitching Unit,Wednesday,Line-C2,0.7,29.12,1248,6840,0,0,0,No Style Change,57,0.700135088
2/28/2015,Q4,Stitching Unit,Saturday,Line-S1,0.5,26.66,1448,6840,30,0,0,Major Design Shift,57,0.550349708
2/25/2015,Q4,Stitching Unit,Wednesday,Line-Q1,0.75,18.79,1085,6240,56,0,0,Minor Style Revision,52,0.970816667
1/17/2015,Q3,Stitching Unit,Saturday,Line-C2,0.8,25.9,1292,10170,50,0,0,No Style Change,56.5,0.800128721
1/22/2015,Q4,Stitching Unit,Thursday,Line-F2,0.7,20.4,1480,10440,40,0,0,No Style Change,58,0.700250784
2/22/2015,Q4,Finishing & Quality,Sunday,Line-S2,0.8,5.13,,4800,0,0,0,No Style Change,20,0.8300625
02-08-2015,Q2,Stitching Unit,Sunday,Line-P1,0.75,10.05,629,3240,45,0,0,No Style Change,27,0.750027778
02-11-2015,Q2,Stitching Unit,Wednesday,Line-F1,0.7,30.1,667,5940,40,0,0,Minor Style Revision,59.5,0.700588406
1/28/2015,Q4,Stitching Unit,Wednesday,Line-Q2,0.8,22.52,1175,6720,60,0,0,No Style Change,56,0.850532143
03-02-2015,Q1,Stitching Unit,Monday,Line-F1,0.65,26.66,832,6780,55,0,0,No Style Change,57,0.750254867
01-07-2015,Q1, Finishing & Quality ,Wednesday,Line-F3,0.8,2.9,,1800,0,0,0,No Style Change,10,0.666515152
03-10-2015,Q2,Stitching Unit,Tuesday,Line-S3,0.8,30.1,756,6960,63,0,0,Minor Style Revision,58,0.800071839
01-08-2015,Q2,Stitching Unit,Thursday,Line-Q2,0.75,28.08,1066,10530,69,0,0,No Style Change,58.5,0.8
1/31/2015,Q5,Stitching Unit,Saturday,Line-S2,0.8,22.52,1397,6840,113,0,0,No Style Change,57,1.000230409
01-05-2015,Q1, Finishing & Quality ,Monday,Line-C2,0.8,2.9,,960,0,0,0,No Style Change,8,0.664583333
2/22/2015,Q4,Stitching Unit,Sunday,Line-P1,0.75,11.41,834,3480,0,0,0,Major Design Shift,58,0.672140805
02-12-2015,Q2,Stitching Unit,Thursday,Line-F2,0.75,30.1,610,7080,56,0,0,No Style Change,59,0.750799435
03-11-2015,Q2,Stitching Unit,Wednesday,Line-F3,0.7,23.41,1128,4560,40,0,0,Minor Style Revision,38,0.700246491
2/24/2015,Q4,Finishing & Quality,Tuesday,Line-Q2,0.7,2.9,,1800,0,0,0,No Style Change,15,0.902222222
2/25/2015,Q4,Stitching Unit,Wednesday,Line-F3,0.75,18.79,1003,3960,45,0,0,Minor Style Revision,33,0.75065101
03-02-2015,Q1,Stitching Unit,Monday,Line-P1,0.8,11.61,632,0,50,0,0,No Style Change,57,0.800309211
1/24/2015,Q4,Stitching Unit,Saturday,Line-S3,0.75,22.52,1266,10260,69,0,0,No Style Change,57,0.80035194
1/27/2015,Q4, Finishing & Quality ,Tuesday,Line-Q2,0.8,3.94,,1440,0,0,0,No Style Change,12,0.979527778
01-10-2015,Q2, Finishing & Quality ,Saturday,Line-P1,0.8,4.15,,1440,0,0,0,No Style Change,8,0.817424242
02-05-2015,Q1,Finishing & Quality,Thursday,Line-S2,0.8,3.94,,2640,0,0,0,No Style Change,22,0.999924242
2/16/2015,Q3,Stitching Unit,Monday,Line-C2,0.7,30.1,7,7080,27,2,10,Major Design Shift,59,0.621971751
2/14/2015,Q2,Stitching Unit,Saturday,Line-F3,0.8,18.79,822,4080,0,0,0,No Style Change,34,0.557252451
1/14/2015,Q2,Stitching Unit,Wednesday,Line-Q1,0.8,26.16,1232,10620,75,0,0,No Style Change,59,0.850502311
01-10-2015,Q2,Stitching Unit,Saturday,Line-F1,0.8,28.08,660,10440,63,0,0,No Style Change,58,0.801028213
1/27/2015,Q4,Stitching Unit,Tuesday,Line-P2,0.7,15.26,1462,4080,40,0,0,No Style Change,34,0.700164706
01-11-2015,Q2,Stitching Unit,Sunday,Line-F2,0.6,20.79,1208,7980,0,0,0,No Style Change,57,0.452979626
02-07-2015,Q1,Stitching Unit,Saturday,Line-C1,0.7,24.26,658,6960,0,270,45,No Style Change,58,0.662270115
02-02-2015,Q1, Finishing & Quality ,Monday,Line-F1,0.8,4.3,,1440,0,0,0,No Style Change,12,0.809236111
2/24/2015,Q4,Finishing & Quality,Tuesday,Line-C2,0.7,4.6,,960,0,0,0,No Style Change,8,0.791458333
2/25/2015,Q4,Stitching Unit,Wednesday,Line-S1,0.65,22.53,762,5040,0,0,0,Minor Style Revision,42,0.581130952
03-10-2015,Q2,Stitching Unit,Tuesday,Line-Q1,0.75,18.79,1247,6240,45,0,0,No Style Change,52,0.750395513
1/20/2015,Q3,Stitching Unit,Tuesday,Line-Q2,0.7,22.52,1108,10080,63,0,0,No Style Change,56,0.750057359
02-10-2015,Q2,Stitching Unit,Tuesday,Line-Q2,0.8,22.52,1268,0,88,0,0,No Style Change,56,0.90063244
01-08-2015,Q2,Stitching Unit,Thursday,Line-Q1,0.8,26.16,1216,10620,88,0,0,No Style Change,59,0.900215716
2/17/2015,Q3,Stitching Unit,Tuesday,Line-P2,0.8,15.26,1133,4080,38,0,0,No Style Change,34,0.800401961
02-05-2015,Q1,Stitching Unit,Thursday,Line-Q1,0.8,29.12,1069,6960,50,0,0,No Style Change,58,0.799963218
1/15/2015,Q3, Finishing & Quality ,Thursday,Line-C2,0.8,2.9,,1440,0,0,0,No Style Change,8,0.606912879
03-09-2015,Q2,Stitching Unit,Monday,Line-F3,0.65,23.41,1262,4560,35,0,0,Minor Style Revision,38,0.650962281
1/25/2015,Q4,Stitching Unit,Sunday,Line-Q1,0.65,29.12,1086,10440,26,0,0,No Style Change,58,0.650407524
1/13/2015,Q2, Finishing & Quality ,Tuesday,Line-P1,0.8,4.15,,1440,0,0,0,No Style Change,8,0.601278409
2/19/2015,Q3,Stitching Unit,Thursday,Line-C2,0.7,29.4,1116,6240,0,0,0,Major Design Shift,57,0.7
02-04-2015,Q1, Finishing & Quality ,Wednesday,Line-P2,0.8,4.08,,1080,0,0,0,No Style Change,9,0.687555556
02-01-2015,Q1,Stitching Unit,Sunday,Line-C2,0.6,24.26,1196,6600,0,0,0,No Style Change,55,0.466821212
1/25/2015,Q4, Finishing & Quality ,Sunday,Line-P2,0.7,4.08,,1620,0,0,0,No Style Change,9,0.618181818
1/25/2015,Q4,Stitching Unit,Sunday,Line-C2,0.5,15.09,1557,720,23,0,0,No Style Change,52,0.500061916
1/27/2015,Q4,Stitching Unit,Tuesday,Line-S1,0.75,22.94,1871,6960,55,0,0,No Style Change,58,0.800263218
2/19/2015,Q3,Stitching Unit,Thursday,Line-S1,0.8,22.52,265,3840,63,0,0,No Style Change,57,0.800470513
03-07-2015,Q1,Finishing & Quality,Saturday,Line-C1,0.8,4.6,,6000,0,0,0,No Style Change,25,0.825444444
02-09-2015,Q2,Finishing & Quality,Monday,Line-F3,0.75,2.9,,960,0,0,0,No Style Change,8,0.888125
2/15/2015,Q3,Stitching Unit,Sunday,Line-F2,0.8,30.1,679,7140,0,0,0,No Style Change,59.5,0.722568627
03-01-2015,Q1,Stitching Unit,Sunday,Line-Q2,0.7,21.82,1393,5640,30,0,0,No Style Change,52,0.700236601
1/26/2015,Q4,Stitching Unit,Monday,Line-S1,0.7,22.94,1745,10440,60,0,0,No Style Change,58,0.800023511
1/31/2015,Q5,Stitching Unit,Saturday,Line-C2,0.5,23.54,1144,6480,0,0,0,No Style Change,54,0.286984568
1/31/2015,Q5, Finishing & Quality ,Saturday,Line-C1,0.7,3.94,,1200,0,0,0,No Style Change,10,0.971866667
02-08-2015,Q2,Stitching Unit,Sunday,Line-C2,0.7,24.26,154,6840,0,0,0,No Style Change,57,0.353259649
1/21/2015,Q3,Stitching Unit,Wednesday,Line-Q1,0.8,54.56,757,4140,29,0,0,No Style Change,58,0.520237649
2/25/2015,Q4,Finishing & Quality,Wednesday,Line-S3,0.8,4.6,,2400,0,0,0,No Style Change,20,0.900833333
1/17/2015,Q3, Finishing & Quality ,Saturday,Line-P1,0.8,4.15,,1260,0,0,0,No Style Change,7,0.313852814
1/19/2015,Q3,Stitching Unit,Monday,Line-Q1,0.8,26.16,1196,10620,63,0,0,No Style Change,59,0.800117103
01-12-2015,Q2,Stitching Unit,Monday,Line-Q2,0.8,50.48,381,6930,45,0,0,No Style Change,58.5,0.688557555
03-02-2015,Q1,Finishing & Quality,Monday,Line-F1,0.65,3.94,,960,0,0,0,No Style Change,8,0.806879167
1/18/2015,Q3,Stitching Unit,Sunday,Line-F1,0.7,22.52,882,10170,50,0,0,No Style Change,56.5,0.7005417
1/19/2015,Q3,Stitching Unit,Monday,Line-S3,0.7,22.52,1095,10170,50,0,0,No Style Change,56.5,0.750062751
1/15/2015,Q3, Finishing & Quality ,Thursday,Line-Q2,0.8,3.94,,3420,0,0,0,No Style Change,19,0.953110048
02-03-2015,Q1,Stitching Unit,Tuesday,Line-Q2,0.8,22.52,1188,6720,90,0,0,No Style Change,56,0.999995238
1/26/2015,Q4, Finishing & Quality ,Monday,Line-Q2,0.75,3.94,,3780,0,0,0,No Style Change,21,0.997792208
1/24/2015,Q4,Stitching Unit,Saturday,Line-Q1,0.6,29.12,925,6660,23,0,0,No Style Change,58,0.600125217
1/19/2015,Q3,Stitching Unit,Monday,Line-C1,0.8,48.84,1040,10260,30,0,0,No Style Change,57,0.576460393
2/26/2015,Q4,Stitching Unit,Thursday,Line-F3,0.75,18.79,912,3960,45,0,0,No Style Change,33,0.75065101
1/15/2015,Q3,Stitching Unit,Thursday,Line-F2,0.7,20.79,391,10440,0,0,0,No Style Change,58,0.700060345
1/17/2015,Q3,Stitching Unit,Saturday,Line-S2,0.6,22.94,865,6570,23,0,0,No Style Change,56.5,0.77011398
2/17/2015,Q3,Stitching Unit,Tuesday,Line-F2,0.8,30.1,680,7140,0,0,0,No Style Change,59,0.653431373
01-06-2015,Q1,Stitching Unit,Tuesday,Line-C1,0.8,25.9,1035,10170,38,0,0,No Style Change,56.5,0.800128721
1/25/2015,Q4,Stitching Unit,Sunday,Line-P2,0.7,15.26,1296,6120,40,0,0,No Style Change,34,0.70043672
2/17/2015,Q3,Stitching Unit,Tuesday,Line-P1,0.7,11.41,1054,3420,30,0,0,Major Design Shift,56,0.700614035
01-03-2015,Q1,Stitching Unit,Saturday,Line-C1,0.8,25.9,1138,6720,38,0,0,No Style Change,56,0.800125
02-02-2015,Q1, Finishing & Quality ,Monday,Line-F3,0.6,2.9,,1200,0,0,0,No Style Change,10,0.280333333
2/19/2015,Q3,Stitching Unit,Thursday,Line-F2,0.8,30.1,276,600,63,3.5,15,No Style Change,59.5,0.799982853
1/21/2015,Q3,Stitching Unit,Wednesday,Line-F3,0.8,11.61,916,5760,75,0,0,No Style Change,89,0.850410511
03-01-2015,Q1,Stitching Unit,Sunday,Line-F2,0.6,27.48,549,6720,38,0,0,No Style Change,56,0.707446429
01-12-2015,Q2,Stitching Unit,Monday,Line-Q1,0.8,26.16,1093,10620,75,0,0,No Style Change,59,0.850502311
03-03-2015,Q1,Stitching Unit,Tuesday,Line-P2,0.8,15.26,983,4080,50,0,0,No Style Change,34,0.800401961
01-11-2015,Q2, Finishing & Quality ,Sunday,Line-Q2,0.8,3.94,,1440,0,0,0,No Style Change,8,0.828295455
1/17/2015,Q3,Stitching Unit,Saturday,Line-S3,0.6,22.52,1140,10170,30,0,0,No Style Change,56.5,0.600291767
01-06-2015,Q1,Stitching Unit,Tuesday,Line-S1,0.8,26.16,1187,10620,75,0,0,No Style Change,59,0.850502311
02-10-2015,Q2,Finishing & Quality,Tuesday,Line-S2,0.8,3.94,,2160,0,0,0,No Style Change,18,0.966759259
02-11-2015,Q2,Stitching Unit,Wednesday,Line-Q1,0.8,29.12,609,3240,50,0,0,No Style Change,58,0.800144144
03-08-2015,Q2,Finishing & Quality,Sunday,Line-S1,0.75,3.94,,960,0,0,0,No Style Change,8,0.890604167
01-12-2015,Q2, Finishing & Quality ,Monday,Line-C2,0.8,2.9,,1440,0,0,0,No Style Change,8,0.725
03-03-2015,Q1,Finishing & Quality,Tuesday,Line-C2,0.75,4.6,,3360,0,0,0,No Style Change,8,0.702777778
03-09-2015,Q2,Finishing & Quality,Monday,Line-P1,0.8,2.9,,0,960,0,0,No Style Change,8,0.960625
1/17/2015,Q3, Finishing & Quality ,Saturday,Line-F3,0.8,2.9,,900,0,0,0,No Style Change,5,0.465757576
03-01-2015,Q1,Finishing & Quality,Sunday,Line-Q2,0.7,2.9,,3360,0,0,0,No Style Change,8,0.664583333
1/19/2015,Q3, Finishing & Quality ,Monday,Line-Q1,0.8,3.94,,1800,0,0,0,No Style Change,10,0.964106061
1/25/2015,Q4, Finishing & Quality ,Sunday,Line-C1,0.65,3.94,,2520,0,0,0,No Style Change,14,0.749188312
2/25/2015,Q4,Finishing & Quality,Wednesday,Line-C2,0.7,4.6,,960,0,0,0,No Style Change,8,0.658541667
1/25/2015,Q4,Stitching Unit,Sunday,Line-C1,0.7,22.52,360,10170,40,0,0,No Style Change,56.5,0.7005417
1/29/2015,Q5,Stitching Unit,Thursday,Line-P1,0.6,20.1,1601,4320,46,0,0,No Style Change,51,0.60059761
01-01-2015,Q1,Stitching Unit,Thursday,Line-Q1,0.7,28.08,872,6900,44,0,0,No Style Change,57.5,0.721126957
02-11-2015,Q2,Stitching Unit,Wednesday,Line-Q2,0.8,22.52,598,0,75,0,0,No Style Change,56,0.850364583
1/24/2015,Q4, Finishing & Quality ,Saturday,Line-Q2,0.75,3.94,,1800,0,0,0,No Style Change,10,0.937242424
01-12-2015,Q2,Stitching Unit,Monday,Line-S1,0.8,26.16,1099,8220,75,0,0,No Style Change,59,0.850522167
01-04-2015,Q1,Stitching Unit,Sunday,Line-F2,0.7,45.67,884,6960,26,0,0,No Style Change,58,0.603432184
1/28/2015,Q4,Stitching Unit,Wednesday,Line-S3,0.8,22.52,1350,6840,113,0,0,No Style Change,57,1.000230409
1/21/2015,Q3,Stitching Unit,Wednesday,Line-P1,0.7,14.89,1735,10260,50,0,0,No Style Change,57,0.700170388
1/15/2015,Q3,Stitching Unit,Thursday,Line-Q2,0.6,22.52,1076,10170,23,0,0,No Style Change,56.5,0.600291767
02-11-2015,Q2,Finishing & Quality,Wednesday,Line-Q1,0.8,3.94,,960,0,0,0,No Style Change,8,0.54175
03-07-2015,Q1,Finishing & Quality,Saturday,Line-P2,0.8,4.6,,1080,0,0,0,No Style Change,9,0.868888889
02-07-2015,Q1,Stitching Unit,Saturday,Line-C2,0.7,24.26,652,6840,0,300,37,No Style Change,57,0.365318713
02-01-2015,Q1,Stitching Unit,Sunday,Line-F1,0.8,22.52,1472,7020,60,0,0,No Style Change,58.5,0.85011396
2/28/2015,Q4,Finishing & Quality,Saturday,Line-F3,0.75,2.9,,3360,0,0,0,No Style Change,8,0.271875
1/13/2015,Q2, Finishing & Quality ,Tuesday,Line-Q1,0.8,3.94,,1440,0,0,0,No Style Change,8,0.858143939
2/15/2015,Q3,Finishing & Quality,Sunday,Line-F1,0.75,4.15,,2400,0,0,0,No Style Change,20,0.287041667
2/23/2015,Q4,Stitching Unit,Monday,Line-Q2,0.7,21.25,1583,6000,0,0,0,Minor Style Revision,50,0.417916667
02-10-2015,Q2,Stitching Unit,Tuesday,Line-P2,0.8,15.26,900,4080,50,0,0,No Style Change,34,0.800401961
1/19/2015,Q3,Stitching Unit,Monday,Line-Q2,0.7,22.52,938,10080,63,0,0,No Style Change,56,0.750057359
03-08-2015,Q2,Stitching Unit,Sunday,Line-Q2,0.7,21.82,1335,6000,30,0,0,No Style Change,50,0.700422
2/18/2015,Q3,Finishing & Quality,Wednesday,Line-S2,0.8,5.13,,1440,0,0,0,No Style Change,12,0.919125
2/17/2015,Q3,Finishing & Quality,Tuesday,Line-S2,0.8,5.13,,1800,0,0,0,No Style Change,15,0.5814
2/23/2015,Q4,Stitching Unit,Monday,Line-P1,0.75,11.41,826,2820,0,0,0,Major Design Shift,58,0.750293939
